Date,Open,High,Low,Close,Volume
2017/8/9,154.48,156.43,154.34,156.23,26872566
2017/8/8,153.83,156.97,153.52,155.25,37253429
2017/8/7,152.33,154.15,151.97,154.04,22506377
2017/8/4,151.38,152.66,151,151.7,21157268
2017/8/3,152.32,152.48,150.36,150.88,27450233
2017/8/2,154.5,154.94,151.47,152.41,71898809
2017/8/1,144.62,145.69,143.95,145.53,35195067
2017/7/31,145.39,145.8,143.67,144.26,20325012
2017/7/28,145.38,145.7,144.71,145.02,17729401
2017/7/27,149.14,149.36,142.86,146.03,33439586
2017/7/26,148.74,149.31,148.45,148.85,16222195
2017/7/25,147.24,149.23,147.24,148.14,19413817
2017/7/24,146.05,147.86,145.39,147.52,22134809
2017/7/21,145.47,145.91,144.4,145.74,25900076
2017/7/20,146.94,147.18,145.66,145.81,17733708
2017/7/19,145.95,146.87,145.43,146.48,21558970
2017/7/18,144.72,145.6,144.2,145.56,18403787
2017/7/17,144.34,146.37,144.11,145.07,24507548
2017/7/14,143.52,144.85,142.89,144.56,20740930
2017/7/13,141.12,144.03,141.06,143.32,25859092
2017/7/12,141.49,141.78,140.47,141.36,25634312
2017/7/11,140.38,141.47,140.04,141.15,20334259
2017/7/10,139.78,141.56,139.06,140.7,21734311
2017/7/7,138.6,140.4,138.6,139.85,19299450
2017/7/6,138.72,139.19,138.13,138.43,24858231
2017/7/5,139.37,140.44,138.43,139.76,22219359
2017/7/3,140.52,140.92,138.8,139.19,14720508
2017/6/30,140.1,140.6,139.46,139.69,23717326
2017/6/29,140.36,140.76,138,139.36,32429718
2017/6/28,140.14,141.72,138.86,141.45,22739871
2017/6/27,140.65,141.77,139.3,139.41,25498154
2017/6/26,142.74,143.82,141,141.44,26475324
2017/6/23,140.76,142.73,140.74,141.88,36521931
2017/6/22,141.39,142.3,140.75,141.25,19677851
